var_name_sql,var_name_addchars,var_name_socrata,var_name_standard,var_name_pretty,var_type,var_data_type,var_is_published,var_is_clustered,var_is_predictor,var_code,var_value,var_value_short,var_notes
AGE,QU_AGE,age,char_age,Age,char,numeric,TRUE,TRUE,TRUE,NA,NA,NA,NA
AIR,QU_AIR,air,char_air,Central Air Conditioning,char,categorical,TRUE,TRUE,TRUE,1,Central A/C,YES,NA
AIR,QU_AIR,air,char_air,Central Air Conditioning,char,categorical,TRUE,TRUE,TRUE,2,No Central A/C,NO,NA
APTS,QU_NUM_APTS,apts,char_apts,Apartments,char,categorical,TRUE,TRUE,TRUE,1,Two,TWO,NA
APTS,QU_NUM_APTS,apts,char_apts,Apartments,char,categorical,TRUE,TRUE,TRUE,2,Three,THREE,NA
APTS,QU_NUM_APTS,apts,char_apts,Apartments,char,categorical,TRUE,TRUE,TRUE,3,Four,FOUR,NA
APTS,QU_NUM_APTS,apts,char_apts,Apartments,char,categorical,TRUE,TRUE,TRUE,4,Five,FIVE,NA
APTS,QU_NUM_APTS,apts,char_apts,Apartments,char,categorical,TRUE,TRUE,TRUE,5,Six,SIX,NA
APTS,QU_NUM_APTS,apts,char_apts,Apartments,char,categorical,TRUE,TRUE,TRUE,6,None,NONE,NA
ATTIC_FNSH,QU_ATTIC_FINISH,attic_fnsh,char_attic_fnsh,Attic Finish,char,categorical,TRUE,TRUE,TRUE,1,Living Area,LAR,NA
ATTIC_FNSH,QU_ATTIC_FINISH,attic_fnsh,char_attic_fnsh,Attic Finish,char,categorical,TRUE,TRUE,TRUE,2,Partial,PT,NA
ATTIC_FNSH,QU_ATTIC_FINISH,attic_fnsh,char_attic_fnsh,Attic Finish,char,categorical,TRUE,TRUE,TRUE,3,None,UNF,NA
ATTIC_TYPE,QU_ATTIC_FINISH,attic_type,char_attic_type,Attic Type,char,categorical,TRUE,TRUE,TRUE,1,Full,FL,NA
ATTIC_TYPE,QU_ATTIC_FINISH,attic_type,char_attic_type,Attic Type,char,categorical,TRUE,TRUE,TRUE,2,Partial,PT,NA
ATTIC_TYPE,QU_ATTIC_FINISH,attic_type,char_attic_type,Attic Type,char,categorical,TRUE,TRUE,TRUE,3,None,NO,NA
BEDS,QU_BEDS,beds,char_beds,Bedrooms,char,numeric,TRUE,FALSE,TRUE,NA,NA,NA,"Number of bedrooms in the property, defined based on building square footage and the judgement of the person in the field."
BLDG_SF,QU_SQFT_BLD,bldg_sf,char_bldg_sf,Building Square Feet,char,numeric,TRUE,TRUE,TRUE,NA,NA,NA,As measured from the exterior of the building.
BSMT,QU_BASEMENT_TYPE,bsmt,char_bsmt,Basement,char,categorical,TRUE,TRUE,TRUE,1,Full,FL,NA
BSMT,QU_BASEMENT_TYPE,bsmt,char_bsmt,Basement,char,categorical,TRUE,TRUE,TRUE,2,Slab,SL,NA
BSMT,QU_BASEMENT_TYPE,bsmt,char_bsmt,Basement,char,categorical,TRUE,TRUE,TRUE,3,Partial,PT,NA
BSMT,QU_BASEMENT_TYPE,bsmt,char_bsmt,Basement,char,categorical,TRUE,TRUE,TRUE,4,Crawl,CR,NA
BSMT_FIN,QU_BASEMENT_FINISH,bsmt_fin,char_bsmt_fin,Basement Finish,char,categorical,TRUE,TRUE,TRUE,1,Formal Rec Room,REC,NA
BSMT_FIN,QU_BASEMENT_FINISH,bsmt_fin,char_bsmt_fin,Basement Finish,char,categorical,TRUE,TRUE,TRUE,2,Apartment,APT,NA
BSMT_FIN,QU_BASEMENT_FINISH,bsmt_fin,char_bsmt_fin,Basement Finish,char,categorical,TRUE,TRUE,TRUE,3,Unfinished,UNF,NA
CNST_QLTY,QU_CONSTRUCT_QUALITY,cnst_qlty,char_cnst_qlty,Construction Quality,char,categorical,TRUE,FALSE,FALSE,1,Deluxe,DLXE,"In general, this field is not used consistently and is therefore not useful for analytical purposes"
CNST_QLTY,QU_CONSTRUCT_QUALITY,cnst_qlty,char_cnst_qlty,Construction Quality,char,categorical,TRUE,FALSE,FALSE,2,Average,AVG,"In general, this field is not used consistently and is therefore not useful for analytical purposes"
CNST_QLTY,QU_CONSTRUCT_QUALITY,cnst_qlty,char_cnst_qlty,Construction Quality,char,categorical,TRUE,FALSE,FALSE,3,Poor,POOR,"In general, this field is not used consistently and is therefore not useful for analytical purposes"
EXT_WALL,QU_EXTERIOR_WALL,ext_wall,char_ext_wall,Wall Material,char,categorical,TRUE,TRUE,TRUE,1,Frame,FRAM,NA
EXT_WALL,QU_EXTERIOR_WALL,ext_wall,char_ext_wall,Wall Material,char,categorical,TRUE,TRUE,TRUE,2,Masonry,MASR,NA
EXT_WALL,QU_EXTERIOR_WALL,ext_wall,char_ext_wall,Wall Material,char,categorical,TRUE,TRUE,TRUE,3,Frame + Masonry,FRMA,NA
EXT_WALL,QU_EXTERIOR_WALL,ext_wall,char_ext_wall,Wall Material,char,categorical,TRUE,TRUE,TRUE,4,Stucco,STUC,NA
FBATH,QU_FULL_BATH,fbath,char_fbath,Full Baths,char,numeric,TRUE,TRUE,TRUE,NA,NA,NA,"Number of full bathrooms, defined as having a bath or shower. If this value is missing, the default value is set to 1."
FRPL,QU_FIRE_PLACE,frpl,char_frpl,Fireplaces,char,numeric,TRUE,TRUE,TRUE,NA,NA,NA,"Number of fireplaces, counted as the number of flues one can see from the outside of the building."
GAR1_AREA,QU_GARAGE_AREA,gar1_area,char_gar1_area,Garage 1 Area,char,categorical,TRUE,FALSE,TRUE,1,Yes,YES,"Is Garage 1 physically including within the building area? If yes, the garage area is subtracted from the building square feet calculation by the field agent."
GAR1_AREA,QU_GARAGE_AREA,gar1_area,char_gar1_area,Garage 1 Area,char,categorical,TRUE,FALSE,TRUE,2,No,NO,"Is Garage 1 physically including within the building area? If yes, the garage area is subtracted from the building square feet calculation by the field agent."
GAR1_ATT,QU_GARAGE_ATTACHED,gar1_att,char_gar1_att,Garage 1 Attached,char,categorical,TRUE,FALSE,TRUE,1,Yes,YES,NA
GAR1_ATT,QU_GARAGE_ATTACHED,gar1_att,char_gar1_att,Garage 1 Attached,char,categorical,TRUE,FALSE,TRUE,2,No,NO,NA
GAR1_CNST,QU_GARAGE_CONST,gar1_cnst,char_gar1_cnst,Garage 1 Material,char,categorical,TRUE,FALSE,TRUE,1,Frame,FRAM,NA
GAR1_CNST,QU_GARAGE_CONST,gar1_cnst,char_gar1_cnst,Garage 1 Material,char,categorical,TRUE,FALSE,TRUE,2,Masonry,MASR,NA
GAR1_CNST,QU_GARAGE_CONST,gar1_cnst,char_gar1_cnst,Garage 1 Material,char,categorical,TRUE,FALSE,TRUE,3,Frame + Masonry,FRMA,NA
GAR1_CNST,QU_GARAGE_CONST,gar1_cnst,char_gar1_cnst,Garage 1 Material,char,categorical,TRUE,FALSE,TRUE,4,Stucco,STUC,NA
GAR1_SIZE,QU_GARAGE_SIZE,gar1_size,char_gar1_size,Garage 1 Size,char,categorical,TRUE,TRUE,TRUE,1,1 cars,1CAR,NA
GAR1_SIZE,QU_GARAGE_SIZE,gar1_size,char_gar1_size,Garage 1 Size,char,categorical,TRUE,TRUE,TRUE,2,1.5 cars,1.5CAR,NA
GAR1_SIZE,QU_GARAGE_SIZE,gar1_size,char_gar1_size,Garage 1 Size,char,categorical,TRUE,TRUE,TRUE,3,2 cars,2CAR,NA
GAR1_SIZE,QU_GARAGE_SIZE,gar1_size,char_gar1_size,Garage 1 Size,char,categorical,TRUE,TRUE,TRUE,4,2.5 cars,2.5CAR,NA
GAR1_SIZE,QU_GARAGE_SIZE,gar1_size,char_gar1_size,Garage 1 Size,char,categorical,TRUE,TRUE,TRUE,5,3 cars,3CAR,NA
GAR1_SIZE,QU_GARAGE_SIZE,gar1_size,char_gar1_size,Garage 1 Size,char,categorical,TRUE,TRUE,TRUE,6,3.5 cars,3.5CAR,NA
GAR1_SIZE,QU_GARAGE_SIZE,gar1_size,char_gar1_size,Garage 1 Size,char,categorical,TRUE,TRUE,TRUE,7,0 cars,0CAR,NA
GAR1_SIZE,QU_GARAGE_SIZE,gar1_size,char_gar1_size,Garage 1 Size,char,categorical,TRUE,TRUE,TRUE,8,4 cars,4CAR,NA
GAR2_AREA,NA,gar2_area,char_gar2_area,Garage 2 Area,char,categorical,FALSE,FALSE,FALSE,1,Yes,YES,"Is Garage 2 physically including within the building area? If yes, the garage area is subtracted from the building square feet calculation by the field agent."
GAR2_AREA,NA,gar2_area,char_gar2_area,Garage 2 Area,char,categorical,FALSE,FALSE,FALSE,2,No,NO,"Is Garage 2 physically including within the building area? If yes, the garage area is subtracted from the building square feet calculation by the field agent."
GAR2_ATT,NA,gar2_att,char_gar2_att,Garage 2 Attached,char,categorical,FALSE,FALSE,FALSE,1,Yes,YES,NA
GAR2_ATT,NA,gar2_att,char_gar2_att,Garage 2 Attached,char,categorical,FALSE,FALSE,FALSE,2,No,NO,NA
GAR2_CNST,NA,gar2_cnst,char_gar2_cnst,Garage 2 Material,char,categorical,FALSE,FALSE,FALSE,1,Frame,FRAM,NA
GAR2_CNST,NA,gar2_cnst,char_gar2_cnst,Garage 2 Material,char,categorical,FALSE,FALSE,FALSE,2,Masonry,MASR,NA
GAR2_CNST,NA,gar2_cnst,char_gar2_cnst,Garage 2 Material,char,categorical,FALSE,FALSE,FALSE,3,Frame + Masonry,FRMA,NA
GAR2_CNST,NA,gar2_cnst,char_gar2_cnst,Garage 2 Material,char,categorical,FALSE,FALSE,FALSE,4,Stucco,STUC,NA
GAR2_SIZE,NA,gar2_size,char_gar2_size,Garage 2 Size,char,categorical,FALSE,FALSE,FALSE,1,1 cars,1CAR,NA
GAR2_SIZE,NA,gar2_size,char_gar2_size,Garage 2 Size,char,categorical,FALSE,FALSE,FALSE,2,1.5 cars,1.5CAR,NA
GAR2_SIZE,NA,gar2_size,char_gar2_size,Garage 2 Size,char,categorical,FALSE,FALSE,FALSE,3,2 cars,2CAR,NA
GAR2_SIZE,NA,gar2_size,char_gar2_size,Garage 2 Size,char,categorical,FALSE,FALSE,FALSE,4,2.5 cars,2.5CAR,NA
GAR2_SIZE,NA,gar2_size,char_gar2_size,Garage 2 Size,char,categorical,FALSE,FALSE,FALSE,5,3 cars,3CAR,NA
GAR2_SIZE,NA,gar2_size,char_gar2_size,Garage 2 Size,char,categorical,FALSE,FALSE,FALSE,6,3.5 cars,3.5CAR,NA
GAR2_SIZE,NA,gar2_size,char_gar2_size,Garage 2 Size,char,categorical,FALSE,FALSE,FALSE,7,0 cars,0CAR,NA
GAR2_SIZE,NA,gar2_size,char_gar2_size,Garage 2 Size,char,categorical,FALSE,FALSE,FALSE,8,4 cars,4CAR,NA
HBATH,QU_HALF_BATH,hbath,char_hbath,Half Baths,char,numeric,TRUE,TRUE,TRUE,NA,NA,NA,"Number of half baths, defined as bathrooms without a shower or bathtub."
HD_SF,NA,hd_sf,char_hd_sf,Land Square Feet,char,numeric,TRUE,TRUE,TRUE,NA,NA,NA,"Square feet of the land (not just the building) of the property. Note that land is divided into 'plots' and 'parcels' - this field applies to parcels, identified by PIN."
HEAT,QU_HEAT,heat,char_heat,Central Heating,char,categorical,TRUE,TRUE,TRUE,1,Warm Air Furnace,FURN,NA
HEAT,QU_HEAT,heat,char_heat,Central Heating,char,categorical,TRUE,TRUE,TRUE,2,Hot Water Steam,STM,NA
HEAT,QU_HEAT,heat,char_heat,Central Heating,char,categorical,TRUE,TRUE,TRUE,3,Electric Heater,ELEC,NA
HEAT,QU_HEAT,heat,char_heat,Central Heating,char,categorical,TRUE,TRUE,TRUE,4,None,NONE,NA
NCU,QU_NO__COM_UNIT,ncu,char_ncu,Number of Commercial Units,char,numeric,FALSE,FALSE,FALSE,NA,NA,NA,Number of commercial units (the vast majority are for properties with class 212).
OHEAT,NA,oheat,char_oheat,Other Heating,char,categorical,TRUE,TRUE,TRUE,1,Floor Furnace,FURN,NA
OHEAT,NA,oheat,char_oheat,Other Heating,char,categorical,TRUE,TRUE,TRUE,2,Unit Heater,UNIT,NA
OHEAT,NA,oheat,char_oheat,Other Heating,char,categorical,TRUE,TRUE,TRUE,3,Stove,STVE,NA
OHEAT,NA,oheat,char_oheat,Other Heating,char,categorical,TRUE,TRUE,TRUE,4,Solar,SOLR,NA
OHEAT,NA,oheat,char_oheat,Other Heating,char,categorical,TRUE,TRUE,TRUE,5,None,NONE,NA
OT_IMPR,NA,ot_impr,char_ot_impr,Other Improvements,char,numeric,TRUE,FALSE,FALSE,NA,NA,NA,NA
PORCH,QU_PORCH,porch,char_porch,Porch,char,categorical,TRUE,TRUE,TRUE,1,Frame Enclosed,FRAM,NA
PORCH,QU_PORCH,porch,char_porch,Porch,char,categorical,TRUE,TRUE,TRUE,2,Masonry Enclosed,MSRY,NA
PORCH,QU_PORCH,porch,char_porch,Porch,char,categorical,TRUE,TRUE,TRUE,3,None,NONE,NA
RENOVATION,QU_RENOVATION,NA,char_renovation,Renovation,char,categorical,TRUE,FALSE,FALSE,1,Yes,YES,NA
RENOVATION,QU_RENOVATION,NA,char_renovation,Renovation,char,categorical,TRUE,FALSE,FALSE,2,No,NO,NA
REPAIR_CND,QU_STATE_OF_REPAIR,repair_cnd,char_repair_cnd,Repair Condition,char,categorical,TRUE,FALSE,FALSE,1,Above Average,GOOD,"This field is subjective and contains little variation. As such, it is not used for modeling."
