pid,meta_class,meta_town_code,meta_nbhd,meta_certified_est_bldg,meta_certified_est_land,meta_cdu,meta_deed_type,char_hd_sf,char_age,char_apts,char_ext_wall,char_roof_cnst,char_rooms,char_beds,char_bsmt,char_bsmt_fin,char_heat,char_oheat,char_air,char_frpl,char_attic_type,char_fbath,char_hbath,char_tp_plan,char_tp_dsgn,char_cnst_qlty,char_site,char_gar1_size,char_gar1_cnst,char_gar1_att,char_gar1_area,char_ot_impr,char_bldg_sf,char_repair_cnd,char_use,char_type_resd,char_attic_fnsh,char_renovation,char_porch,geo_property_city,geo_property_zip,geo_tract_pop,geo_white_perc,geo_black_perc,geo_asian_perc,geo_his_perc,geo_other_perc,geo_fips,geo_municipality,geo_ohare_noise,geo_floodplain,geo_fs_flood_factor,geo_fs_flood_risk_direction,geo_withinmr100,geo_withinmr101300,geo_school_elem_district,geo_school_hs_district,econ_tax_rate,econ_midincome,ind_large_home,ind_garage,ind_arms_length
1,203,35,35030,181470,33110,NA,W,7791,52,NA,1,1,5,4,3,1,1,5,1,0,3,2,1,2,2,2,2,3,1,1,2,0,1390,2,1,1,NA,NA,NA,HANOVER PARK,60133,4056,0.5295857988165681,0.01898422090729783,0.05571992110453649,0.3375246548323471,0.11637080867850098,32746,Hanover Park,0,0,1,0,0,0,SCHOOL DISTRICT C C 54,PALATINE TOWNSHIP HIGH SCHOOL  211,10.763,73313,FALSE,TRUE,TRUE
2,207,29,29060,328800,8420,NA,O,2408,5,NA,1,1,7,3,2,3,1,5,1,0,3,2,1,2,2,2,2,3,1,1,1,0,1900,2,1,2,NA,NA,NA,PALATINE,60067,2855,0.7765323992994746,0.00700525394045534,0.07915936952714536,0.1190893169877408,0.03642732049036777,57225,Palatine,0,0,1,0,0,0,SCHOOL DISTRICT C C  15,PALATINE TOWNSHIP HIGH SCHOOL  211,9.835,91122,FALSE,TRUE,TRUE
3,203,39,39080,195750,29760,NA,W,4960,73,NA,2,1,5,2,1,3,1,5,1,1,3,1,0,1,NA,2,2,2,1,1,1,0,1023,2,1,1,NA,NA,1,EVERGREEN PARK,60805,4691,0.7930078874440418,0.19185674696226815,0,0.01513536559369004,0,24634,Evergreen Park,0,0,3,1,0,0,SCHOOL DISTRICT  124,COMMUNITY HIGH SCHOOL  231,13.318,87500,FALSE,TRUE,TRUE
4,211,72,72150,81620,30240,NA,O,3780,94,2,1,1,7,4,2,3,1,5,2,0,3,2,0,2,2,2,2,7,NA,NA,NA,0,2458,2,2,2,NA,NA,NA,CHICAGO,60629,5157,0.00523560209424083,0.8576691875121194,0.00174520069808027,0.12371533837502424,0.02326934264107039,14000,Chicago,0,0,1,0,0,0,MCKAY,GAGE PARK HS,6.934,31310,FALSE,FALSE,TRUE
5,278,28,28036,216050,95980,NA,W,17451,45,NA,3,1,7,4,3,3,1,5,1,1,3,2,1,2,2,2,2,3,2,1,1,0,2439,2,1,2,NA,NA,NA,ORLAND PARK,60462,7020,0.8626780626780627,0.02008547008547008,0.01039886039886039,0.0737891737891738,0.0660968660968661,56640,Orland Park,0,0,6,-1,0,0,SCHOOL DISTRICT  135,CONSOLIDATED HIGH SCHOOL  230,9.413,91250,FALSE,TRUE,TRUE
6,211,70,70070,96350,34370,NA,W,3125,122,2,2,1,12,6,1,3,1,2,2,0,3,2,0,2,NA,2,2,7,NA,NA,NA,0,2400,2,2,2,NA,NA,NA,CHICAGO,60619,2435,0.00616016427104722,0.9531827515400412,0,0.0271047227926078,0.02422997946611909,14000,Chicago,0,0,1,0,0,0,REVERE,CHICAGO VOCATIONAL HS,6.89,37328,FALSE,FALSE,TRUE
7,234,13,13312,148470,33720,NA,W,9635,35,NA,3,1,6,3,3,1,1,5,2,1,3,2,1,2,2,2,2,4,2,1,2,0,1286,2,1,4,NA,NA,NA,OAK FOREST,60452,4834,0.6853537443111295,0.08254033926354985,0.05192387256930078,0.1621845262722383,0.0359950351675631,54638,Oak Forest,0,0,3,0,0,0,SCHOOL DISTRICT 145,COMMUNITY HIGH SCHOOL  228,15.388,63931,FALSE,TRUE,TRUE
8,205,17,17120,607530,99990,NA,W,6666,96,NA,2,1,8,4,1,3,2,5,1,1,1,2,1,2,2,2,2,1,2,1,2,0,2196,2,1,2,1,NA,NA,EVANSTON,60201,4175,0.8941317365269461,0.00455089820359281,0.03688622754491018,0.04263473053892215,0.03880239520958083,24582,Evanston,0,0,1,0,0,0,SCHOOL DISTRICT C C  65,EVANSTON TOWNSHIP HIGH SCHOOL  202,8.035,141250,FALSE,TRUE,TRUE
9,207,39,39122,209220,40450,NA,W,6224,53,NA,3,1,6,3,3,3,1,5,1,0,3,1,1,2,2,2,2,3,2,1,1,0,1884,2,1,2,NA,NA,NA,OAK LAWN,60453,4320,0.6965277777777777,0.06875,0.00972222222222222,0.20046296296296295,0.04907407407407407,54820,Oak Lawn,0,0,6,1,0,0,SCHOOL DISTRICT  122,COMMUNITY HIGH SCHOOL  229,11.134,71949,FALSE,TRUE,TRUE
10,208,28,28100,459670,102370,NA,W,15750,27,NA,3,1,9,5,3,3,1,5,1,2,3,3,0,2,2,2,2,3,2,1,1,0,3824,2,1,2,NA,NA,NA,ORLAND PARK,60467,8884,0.8615488518685277,0.01260693381359747,0.04558757316524088,0.05571814497973886,0.04907699234579019,56640,Orland Park,0,0,1,0,0,0,SCHOOL DISTRICT  135,CONSOLIDATED HIGH SCHOOL  230,9.413,105942,TRUE,TRUE,TRUE
